battle_id,round,attacker,damage,attacker_hp,defender_hp,timestamp
f11af401-1b3c-4eda-9a0f-e52d74c21fe6,1,defender,22,78,100,2025-05-14 21:28:16.683492
f11af401-1b3c-4eda-9a0f-e52d74c21fe6,2,attacker,16,78,84,2025-05-14 21:28:16.683492
f11af401-1b3c-4eda-9a0f-e52d74c21fe6,3,defender,16,62,84,2025-05-14 21:28:16.683492
f11af401-1b3c-4eda-9a0f-e52d74c21fe6,4,attacker,21,62,63,2025-05-14 21:28:16.683492
f11af401-1b3c-4eda-9a0f-e52d74c21fe6,5,defender,58,4,63,2025-05-14 21:28:16.683492
f11af401-1b3c-4eda-9a0f-e52d74c21fe6,6,attacker,21,4,42,2025-05-14 21:28:16.683492
f11af401-1b3c-4eda-9a0f-e52d74c21fe6,7,defender,21,0,42,2025-05-14 21:28:16.683492
